Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"ESP32","Main board",1,4.62,"https://tinyurl.com/34erpaxd","Aliexpress"
"10pc M3 screws 6mm","Housing Fasteners",1,1.36,"https://tinyurl.com/t8szn2h5","Aliexpress"
"Passive Radiator 40mm","Bass Reinforcement",1,2.14,"https://tinyurl.com/45tr5nd5","Aliexpress"
"Heat insets (M3xL4xOD4.2)","3D Case Mounting",1,3.13,"https://tinyurl.com/5n6rxzxw","Aliexpress"
"Hookup Wire","Internal Wiring",1,5.39,"https://tinyurl.com/5y88cx4z","Aliexpress"
"EC11 Rotary Encoder","Menu Navigation",1,2.62,"https://tinyurl.com/mr3hhsts","Aliexpress"
"WS2812B NeoPixel Ring (12 LEDs)","Status Light",1,1.26,"https://shorturl.at/ZBny5","Aliexpress"
"BME280 Sensor","Temp/Humidity/Pressure",1,5.17,"https://shorturl.at/EpH5n","Aliexpress"
"3W 4 Ohm Speaker","Sound Output",1,2.87,"https://shorturl.at/tvgJC","Aliexpress"
"DFPlayer Mini","MP3 Audio Processor (custom alarm)",1,1.72,"https://shorturl.at/1WEPm","Aliexpress"
"2.4"" ILI9341 SPI TFT LCD","Main Visual Interface",1,5.68,"https://shorturl.at/Q8iuz","Aliexpress"
